Individual,Block,Strain,Replicate,Cell,Environment,Sex,Focal haplotype,Social haplotype,Mortality,Social Survival,Development time (hrs),Wing size (mm),Day emerged,Hours from lights on,Female offspring,Male offspring,Total female assay,Male red 1,Female red 1,Total red vial 1,Male bw 1,Female bw 1,Total bw vial 1,Proportion red vial 1,Male red 2,Female red 2,Total red vial 2,Male bw 2,Female bw 2,Total bw vial 2,Proportion red vial 2,Total red all vials,Total bw all vials,Proportion red all vials
1245,4,Dahomey 2,25,23,7,F,Dahomey,Sweden,P,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1246,4,Sweden 2,25,23,7,M,Sweden,Dahomey,N,P,244,1.021,10,6,NA,NA,NA,37,43,80,0,,0,1,25,20,45,0,0,0,1,125,0,1
1247,4,Israel 2,25,24,7,F,Israel,Sweden,L,L,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1248,4,Sweden 2,25,24,7,M,Sweden,Israel,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1249,4,Sweden 2,25,25,7,F,Sweden,Sweden,L,L,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1250,4,Sweden 2,25,25,7,M,Sweden,Sweden,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1251,4,Barcelona 2,26,1,7,F,Barcelona,Barcelona,L,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1252,4,Barcelona 2,26,1,7,M,Barcelona,Barcelona,N,L,247,1.073,10,9,NA,NA,NA,59,56,115,1,0,1,0.99137931,19,27,46,0,0,0,1,161,1,0.99382716
1253,4,Brownsville 2,26,2,7,F,Brownsville,Barcelona,L,L,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1254,4,Barcelona 2,26,2,7,M,Barcelona,Brownsville,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1255,4,Dahomey 2,26,3,7,F,Dahomey,Barcelona,P,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1256,4,Barcelona 2,26,3,7,M,Barcelona,Dahomey,N,P,264,,11,2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1257,4,Israel 2,26,4,7,F,Israel,Barcelona,L,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1258,4,Barcelona 2,26,4,7,M,Barcelona,Israel,N,L,248,1.031,10,10,NA,NA,NA,0,0,0,7,22,29,0,0,0,0,0,1,1,0,0,30,0
1259,4,Sweden 2,26,5,7,F,Sweden,Barcelona,P,P,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1260,4,Barcelona 2,26,5,7,M,Barcelona,Sweden,P,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1261,4,Barcelona 2,26,6,7,F,Barcelona,Brownsville,L,L,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1262,4,Brownsville 2,26,6,7,M,Brownsville,Barcelona,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1263,4,Brownsville 2,26,7,7,F,Brownsville,Brownsville,L,L,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
